"ROW_ID","ID","STATE_NAME","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
31,"370010207013","North Carolina","Alamance County","Piedmont",734,33.2425068,40.599455,0,0,6.1630219,4.0871935,32.1525886,18.2564103,7.884666575,60.64487,0.235685562,40,0.4,472.4997887,450.7261431,5.4487179,0.01611877,0.100204992,0.963705545,11.20668049,1357775,0
32,"370010207014","North Carolina","Alamance County","Piedmont",2216,29.9638989,13.5379061,0,0,3.2490975,2.166065,14.801444,18.2564103,7.884666575,60.64487,0.235685562,40,0.4,466.5477183,152.3676848,9.2118731,0.016012648,0.098919416,1.169024493,6.427770475,2671395,14288
33,"370010207021","North Carolina","Alamance County","Piedmont",1315,41.21673,36.2737643,8.512931,0,11.5459883,3.5741445,20.3041825,19.1794872,7.888156274,60.64949,0.22058298,30,0.4,434.3051923,135.1834929,56.4032698,0.016748909,0.134964266,0.532447133,12.42926025,1368444,541
34,"370010207022","North Carolina","Alamance County","Piedmont",1225,49.877551,39.8367347,8.5995086,0,4.3824701,0,29.6326531,19.1794872,7.888156274,60.64949,0.22058298,30,0.4,415.7444913,57.45402595,11.8506494,0.01679618,0.14316269,0.479735938,13.88880214,715508,0
35,"370010207023","North Carolina","Alamance County","Piedmont",2005,51.2718205,49.276808,10.6466877,0,7.5715605,8.2294264,7.0822943,19.1794872,7.888156274,60.64949,0.22058298,30,0.4,421.9045634,183.7960131,12.2787611,0.016564713,0.127979493,0.559287175,9.892772232,558146,0
36,"370010207024","North Carolina","Alamance County","Piedmont",955,80.9424084,57.0680628,1.7374517,0,11.6239316,2.9319372,6.9109948,19.1794872,7.888156274,60.64949,0.22058298,30,0.4,437.2872531,239.4942758,0,0.016519506,0.125878807,0.659445374,7.264117049,4929981,20760
37,"370010208011","North Carolina","Alamance County","Piedmont",1819,46.4540957,39.9120396,1.9586507,0.7331378,11.0849057,7.2567345,14.8433205,22.4615385,7.898004411,60.66928,0.178837711,30,0.4,416.7073412,193.4983614,9.9110546,0.017056607,0.160021203,0.252868529,5.958907829,11909863,138041
38,"370010208021","North Carolina","Alamance County","Piedmont",642,82.8660436,63.2398754,28.4046693,0,57.4025974,0,19.6261682,25.8461538,7.883943288,60.47408,0.26879902,30,0.4,365.7335391,464.4137893,58.3333333,0.017454715,0.205406278,0.183169392,37.0831758,470786,0
39,"370010208022","North Carolina","Alamance County","Piedmont",963,90.4465213,86.2928349,10.9839817,0,42.5287356,1.973001,14.6417446,25.8461538,7.883943288,60.47408,0.26879902,30,0.4,394.2312039,64.78429271,72.4867725,0.017299898,0.185546293,0.196831361,35.91885842,639295,0
40,"370010208023","North Carolina","Alamance County","Piedmont",1443,79.6950797,40,2.1917808,8.4745763,11.4116653,1.4553015,15.5925156,25.8461538,7.883943288,60.47408,0.26879902,30,0.4,388.3463263,78.19105591,30.6779661,0.017160325,0.181399453,0.191177096,22.21134571,1334589,880
41,"370010208024","North Carolina","Alamance County","Piedmont",1067,94.0018744,60.5435801,7.2765073,22.5490196,44.7817837,12.371134,10.2155576,25.8461538,7.883943288,60.47408,0.26879902,30,0.4,371.8608674,171.5028637,46.5116279,0.01740648,0.216240504,0.164234808,23.07351699,694551,0
42,"370010208025","North Carolina","Alamance County","Piedmont",541,44.3622921,54.5286507,5.2419355,0,25,2.2181146,7.0240296,25.8461538,7.883943288,60.47408,0.26879902,30,0.4,292.4442657,170.1040294,58.3673469,0.017620514,0.255581159,0.149456226,24.20702367,627372,32157
43,"370010208026","North Carolina","Alamance County","Piedmont",1253,52.3543496,52.1947326,2.3054755,6.9131833,35.9675785,5.8260176,17.1588188,25.8461538,7.883943288,60.47408,0.26879902,30,0.4,362.9773669,130.5572266,61.9119879,0.017363754,0.218031362,0.161599994,22.28128921,956975,0
44,"370010209011","North Carolina","Alamance County","Piedmont",898,29.1759466,22.9398664,0.9960159,1.9880716,15.2406417,7.4610245,20.7126949,22.5641026,7.897558274,60.57159,0.204757157,30,0.4,318.6353549,305.1093386,56.7387687,0.017639967,0.243836502,0.139973227,15.50793759,1410327,319
45,"370010209012","North Carolina","Alamance County","Piedmont",1271,37.8442172,16.203336,0,0,2.6963658,8.1825334,27.0653029,22.5641026,7.897558274,60.57159,0.204757157,30,0.4,355.32369,186.2543602,19.4107452,0.017895479,0.228164506,0.139735791,7.542974567,2232285,12688
46,"370010209013","North Carolina","Alamance County","Piedmont",1380,40.8695652,8.8405797,4.2626728,4.4293015,5.4883721,4.8550725,17.6086957,22.5641026,7.897558274,60.57159,0.204757157,30,0.4,386.5995106,59.3074709,6.8907563,0.017359575,0.170762504,0.19032683,5.871262055,4245915,62895
47,"370010209021","North Carolina","Alamance County","Piedmont",2441,23.3920524,23.8426874,3.7429379,3.3084312,6.8596602,8.7668988,14.9528882,18.6666667,7.90144811,60.53981,0.150620304,30,0.4,374.0572933,6.471515557,6.1266874,0.017866491,0.238525849,0.153464289,0.555389743,6927416,171269
48,"370010209022","North Carolina","Alamance County","Piedmont",1770,32.0338983,20.6779661,0.1297017,0,10.7431341,4.9152542,24.4067797,18.6666667,7.90144811,60.53981,0.150620304,30,0.4,364.6129443,38.50831668,13.3915575,0.018115437,0.281941971,0.13437378,3.725573484,3327221,34980
49,"370010210001","North Carolina","Alamance County","Piedmont",1559,63.1173829,64.2078255,12.9298487,3.4596376,15.1036525,10.1988454,10.2629891,24.5128205,7.901977836,60.55894,0.272403501,30,0.4,161.1756163,165.067392,28.1713344,0.018005298,0.391067465,0.115762467,7.975730824,766563,0
50,"370010210002","North Carolina","Alamance County","Piedmont",2012,70.7753479,71.6074111,16.9249106,0,22.7156277,6.0636183,12.2266402,24.5128205,7.901977836,60.55894,0.272403501,30,0.4,185.6359508,91.42371913,42.0772304,0.017968308,0.400860941,0.122397773,9.782082075,1645893,0
51,"370010210003","North Carolina","Alamance County","Piedmont",1152,75.6944444,69.0972222,10.2564103,0.5976096,8.1911263,13.1076389,7.6388889,24.5128205,7.901977836,60.55894,0.272403501,30,0.4,232.7904016,243.7781636,31.2714777,0.0176895,0.287046189,0.134060083,12.54486223,814889,0
52,"370010211021","North Carolina","Alamance County","Piedmont",980,65.1020408,69.8030635,0,0,22.8346457,5.6122449,17.3469388,22.1538462,7.900656164,60.52357,0.169245923,30,0.4,214.1824916,262.4640004,7.7087794,0.018251564,0.458725382,0.117129473,14.62251409,1763613,1186
53,"370010211022","North Carolina","Alamance County","Piedmont",994,27.7665996,18.2092555,10.2874433,0,7.1428571,1.6096579,20.8249497,22.1538462,7.900656164,60.52357,0.169245923,30,0.4,209.6643583,120.3344777,16.5354331,0.018477231,0.42872168,0.111988341,6.256714818,2943610,3375
54,"370010211023","North Carolina","Alamance County","Piedmont",1415,5.0883392,36.0424028,5.3315995,0,7.4146341,10.5300353,16.6784452,22.1538462,7.900656164,60.52357,0.169245923,30,0.4,290.3923695,23.26067218,27.6094276,0.018931463,0.706691772,0.113453388,2.298495555,6105649,206245
55,"370010212011","North Carolina","Alamance County","Piedmont",3266,80.1898347,57.5579598,1.1432927,9.7826087,18.8852814,8.6344152,15.4317208,21.6410256,7.848757589,60.38242,0.145561633,30,0.3,172.6050825,41.70457496,14.2480211,0.02056747,0.247467263,0.091498726,3.736830596,11949182,1473852
