"CNTY_ID","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
16,"Carteret County","Coastal Plain",63881,14.8332116928571,26.4511332410714,5.05170936428571,0.597419871428571,8.08933799107143,4.1622017875,25.8812661946429,19.7985348017857,5.41633554308929,58.7187223214286,0.0797225640892857,20,0.2,34.72969234125,48.921676290875,14.2520918892857,0.045548232625,0.0233871496785714,0.04470779325,2.33871886030357,1226371011,645948838
17,"Caswell County","Piedmont",22785,39.8301255944444,29.83900655,5.3703839,0.772858866666667,18.6068817222222,4.85873917222222,21.9684143888889,22.4558404444444,7.72308288138889,58.6703283333333,0.1064111605,30,0.3,319.521836416667,4.65391785927778,23.3801046111111,0.0280468682222222,0.0746304271666667,0.0905039972777778,0.528803976444444,1101694783,8641803
18,"Catawba County","Piedmont",153897,26.2807818315789,34.2394636347368,5.99519674736842,2.19940060842105,13.91629794,5.4903745768421,18.1792487715789,21.9616734252632,8.5157224696,62.9987809473684,0.181076852768421,30.9473684210526,0.406315789473684,19906.4380375368,57.5500767937474,19.56384624,0.0431098990842105,0.549243313063158,0.781972735852632,3.54354477948421,969181619,35003856
19,"Chatham County","Piedmont",70430,28.4876151037736,27.7686708490566,2.98050186037736,3.02455539622642,11.9854297566038,4.35523564150943,25.7390161320755,16.1761006283019,8.18776333933962,60.1258060377358,0.125650945301887,30,0.360377358490566,222.653608295472,18.2536163438679,12.3458002113208,0.0347379995283019,0.182365529264151,0.0834360767358491,1.58372572311321,1686837596,69255087
20,"Cherokee County","Mountains",28515,10.818829162963,40.2218865777778,3.81544623333333,0.295639233333333,10.5749211074074,3.23648634074074,32.4176639592593,21.591642937037,6.94987777877778,59.7793544444444,0.0665260554814815,24.8148148148148,0.281481481481481,8.52549877555556,11.5950918775926,9.79525016296296,0.0113663191481481,0.0177995618518519,0.12101827162963,0.459280249148148,1179845613,28813485
21,"Chowan County","Coastal Plain",13796,41.6651690833333,38.5039554,7.81971693333333,1.46290148333333,15.2307167083333,5.107027975,26.872056375,20.8034187833333,6.47329374433333,57.3741733333333,0.0796041848333333,20,0.2,1145.73642161667,4.08262587275,24.2143530083333,0.0141778554166667,0.0234723995,0.234475544666667,2.35442643425,447179939,61867912
22,"Clay County","Mountains",10997,7.7423322875,35.87433345,2.7146326125,0.3202826625,10.6852006,4.67680175,31.0462578125,19.7948718,6.828490315,59.6735,0.055916079,20,0.25,0.0142931975,2.00094600075,10.9987096875,0.01239466825,0.018207686125,0.07819565775,0.30202776725,556804503,15017755
23,"Cleveland County","Piedmont",96412,28.668485556,42.4061619413333,7.06734490133333,0.467660006666667,13.3129449813333,5.24526507866667,19.0507759773333,23.4502564226667,8.4216221012,63.7950337333333,0.16769050244,30,0.365333333333333,1098.41137163467,45.1085667790267,22.279799676,0.107431934373333,0.283233698786667,0.219927361493333,2.4203004,1103532873,10162906
24,"Columbus County","Coastal Plain",51474,39.6702390041667,48.02229296875,5.429309225,1.46214553333333,15.1693068875,4.96570679375,21.4177309895833,24.4038461479167,6.39783743041667,59.4226025,0.0815090791041667,20.625,0.30625,243.643705376667,14.104584662125,22.0420346625,0.0377062129166667,0.0564328543333333,0.0439637969583333,1.0587618088125,2429722353,43711694
25,"Craven County","Coastal Plain",94246,36.5523585641791,36.1304087313433,5.6829445,2.07872235820896,11.1746368,5.53319524179105,21.0714968970149,21.8369689925373,6.00453387374627,58.5724549253731,0.105129957074627,20,0.274626865671642,561.882326553284,50.5798626796269,19.6282667865672,0.0730816045970149,0.167329773253731,0.268752998835821,7.59838483361194,1784740417,152714858
